# Curated French words and expressions common in Russian classical prose.
# Columns: French form<TAB>Russian meaning<TAB>optional Russian aliases.
de	Французский предлог: из, от, о; также выражает принадлежность.
du	Слитная форма французского предлога de и мужского артикля le: из, от, о.
des	Слитная форма de и множественного артикля les; также неопределённый артикль множественного числа.
le	Французский определённый артикль мужского рода: этот, данный; обычно не переводится.
la	Французский определённый артикль женского рода: эта, данная; обычно не переводится.
les	Французский определённый артикль множественного числа; обычно не переводится.
un	Французский неопределённый артикль мужского рода: один, какой-то; обычно не переводится.
une	Французский неопределённый артикль женского рода: одна, какая-то; обычно не переводится.
et	Французский союз: и.
ou	Французский союз: или.
que	Французское союзное слово или местоимение: что, который, чем.
qui	Французское местоимение или союзное слово: кто, который.
ce	Французское указательное местоимение или прилагательное: это, этот.
cette	Французское указательное прилагательное женского рода: эта.
ces	Французское указательное прилагательное множественного числа: эти.
je	Французское личное местоимение: я.
tu	Французское личное местоимение: ты.
il	Французское личное местоимение: он; безличное оно.
elle	Французское личное местоимение: она.
nous	Французское личное местоимение: мы, нас, нам.
vous	Французское личное местоимение: вы, вас, вам; вежливое обращение к одному лицу.
ils	Французское личное местоимение: они, мужской или смешанной группы.
elles	Французское личное местоимение: они, женской группы.
me	Французское местоимение: меня, мне; себя.
te	Французское местоимение: тебя, тебе; себя.
se	Французское возвратное местоимение: себя, себе.
en	Французский предлог или местоимение: в, из; об этом, оттуда.
y	Французское местоимение: там, туда; об этом.
ne	Французская частица отрицания, обычно употребляется с pas или другим отрицательным словом.
pas	Французское отрицательное слово: не; шаг.
plus	Французское наречие: больше, более; больше не — в отрицании.
très	Французское наречие: очень.
bien	Французское наречие и прилагательное: хорошо, хороший; благо.
mal	Французское наречие и прилагательное: плохо, плохой; зло, боль.
déjà	Французское наречие: уже.
encore	Французское наречие: ещё, снова, всё ещё.
toujours	Французское наречие: всегда, по-прежнему.
jamais	Французское наречие: никогда; когда-либо в вопросе.
maintenant	Французское наречие: теперь, сейчас.
alors	Французское наречие или союз: тогда, итак, следовательно.
comme	Французское наречие или союз: как, словно, поскольку.
mais	Французский противительный союз: но.
donc	Французский союз или частица: итак, следовательно, же.
aussi	Французское наречие: также, тоже, столь же.
pour	Французский предлог: для, ради, за; чтобы.
avec	Французский предлог: с, вместе с.
sans	Французский предлог: без.
dans	Французский предлог: в, внутри, через.
sur	Французский предлог: на, над, о; по поводу.
sous	Французский предлог: под, ниже, при.
entre	Французский предлог: между, среди.
chez	Французский предлог: у, к кому-либо; в доме или заведении.
par	Французский предлог: через, посредством, по, за.
vers	Французский предлог: к, по направлению к; около, примерно.
bonjour	Французское приветствие: здравствуйте, добрый день.	бонжур
bonsoir	Французское приветствие или прощание вечером: добрый вечер.	бонсуар
merci	Французское слово благодарности: спасибо.	мерси
pardon	Французское слово извинения или привлечения внимания: простите, извините.	пардон
adieu	Французское прощание: прощай, прощайте.	адьё
au revoir	Французское прощание: до свидания.	оре-вуар
s'il vous plaît	Французская вежливая формула: пожалуйста.	силь ву пле
voilà	Французское указательное слово: вот, вот он; таков результат.	вуаля
monsieur	Французская форма вежливого обращения к мужчине: господин.	месье|мсье
madame	Французская форма вежливого обращения к женщине: госпожа, мадам.	мадам
mademoiselle	Французская форма обращения к незамужней женщине: мадемуазель.	мадемуазель
m-lle	Французское сокращение слова mademoiselle: мадемуазель.	мадемуазель
cher	Французское прилагательное мужского рода: дорогой, милый.	шер
chère	Французское прилагательное женского рода: дорогая, милая.	шер
ami	Французское существительное: друг.	ами
amie	Французское существительное женского рода: подруга.	ами
mon Dieu	Французское восклицание: боже мой.	мон дьё
ma chère	Французское обращение к женщине: дорогая моя.	ма шер
cher ami	Французское обращение: дорогой друг.	шер ами
général	Французское существительное или прилагательное: генерал; общий.	женераль
maréchal	Французское существительное: маршал.	маршал
empereur	Французское существительное: император.	эмпёрёр
impératrice	Французское существительное: императрица.	императрис
prince	Французское существительное: принц, князь.	пренс
princesse	Французское существительное: принцесса, княгиня.	пренсес
comte	Французское существительное: граф.	конт
comtesse	Французское существительное: графиня.	контес
duc	Французское существительное: герцог.	дюк
duchesse	Французское существительное: герцогиня.	дю шес
roi	Французское существительное: король.	руа
reine	Французское существительное: королева.	рэн
Français	Французское существительное или прилагательное: француз; французский.	француз
Française	Французское существительное или прилагательное женского рода: француженка; французская.	француженка
c'est-à-dire	Французская формула: то есть, иначе говоря.	сэ-та-дир
à propos	Французское выражение: кстати; уместно, своевременно.	а пропо
tout à fait	Французское выражение: совершенно, вполне, безусловно.	ту та фэ
