# Curated German reader layer for foreign dialogue and quotations in Russian
# literary editions.  The seed terms are attested in the supplied editions of
# Hašek, Kafka, and Goethe; Russian aliases cover common transliterations.
Herr	Господин; вежливое обращение к мужчине.	герр
Frau	Госпожа; женщина, замужняя дама.	фрау
Fräulein	Барышня; традиционное обращение к незамужней женщине.	фройляйн
Gott	Бог.	готт
ja	Да.	я
nein	Нет.	найн
danke	Спасибо.	данке
bitte	Пожалуйста; прошу; не за что.	битте
gute Nacht	Спокойной ночи.	гуте нахт
auf Wiedersehen	До свидания.	ауф видерзеен
Halt	Стой!; остановиться.	хальт
Achtung	Внимание!; также «уважение».	ахтунг
Marsch	Марш!; движение строем.	марш
Feuer	Огонь; в команде — стрелять.	фойер
links	Налево; слева.	линкс
rechts	Направо; справа.	рехтс
zurück	Назад; обратно.	цурюк
Jawohl	Так точно; да, разумеется.	яволь
Kaiser	Император.	кайзер
Oberst	Полковник.	оберст
Soldat	Солдат.	зольдат
Kamerad	Товарищ; сослуживец.	камерад
ich bin	Я есть; я являюсь.	их бин
du bist	Ты есть; ты являешься.	ду бист
nicht	Не; нет.	нихт
der	Определённый артикль мужского рода.
die	Определённый артикль женского рода или множественного числа.
das	Определённый артикль среднего рода; также «это».
ein	Неопределённый артикль мужского или среднего рода; один.
eine	Неопределённый артикль женского рода; одна.
und	И.
