# Сокращения и редакторские пометы, часто встречающиеся в русских книгах.
# Точка в исходном тексте обычно отделяется токенизатором, поэтому ключи
# хранятся без неё; варианты с дефисом остаются единым lookup-ключом.
г-н	Сокращение «господин».	г-ну|г-ном|г-на|г-не
г-жа	Сокращение «госпожа».	г-жи|г-же|г-жу
м-с	Сокращение «миссис» или «мисс» в переводной прозе; точное значение зависит от издания.	миссис|мисс
м-ль	Сокращение «мадемуазель».	мадемуазель|м-лль
стр	Сокращение «страница» или «страницы», обычно в примечании или ссылке.	страница|страницы
примеч	Сокращение слова «примечание».	примечание
изд	Сокращение слов «издание» или «издательство».	издание|издательство
фр	Сокращение «французский»; иногда также обозначает франк в исторических текстах.	французский|французская|французское
ср	Сокращение «сравни», призыв сопоставить с другим местом или источником.	сравни
др	Сокращение «другой», «другое» или «другие».	другой|другое|другие

