# Curated reader seed for historical, archaic, and Church Slavonic vocabulary.
аршин	Старая русская мера длины, около 71 сантиметра.	
боярин	Представитель высшего сословия в Русском государстве до XVIII века.	
верста	Старая русская мера расстояния, обычно 500 саженей.	
вече	Народное собрание в древнерусском городе.	
воевода	Военачальник или правитель области в старой Руси.	
волость	Административная территория; сельская община.	
государь	Монарх; верховный правитель.	
дворянин	Представитель дворянского сословия.	
дьяк	Письмоводитель, чиновник в древнерусском государстве.	
земство	Орган местного самоуправления в Российской империи.	
кафтан	Старинная мужская верхняя одежда.	
коллежский асессор	Гражданский чин в Российской империи.	
купчая	Документ о купле-продаже имущества, особенно земли.	
лапти	Плетёная крестьянская обувь из лыка.	
оброк	Денежный или натуральный сбор с зависимого крестьянина.	
опричник	Служилый человек опричнины Ивана IV; переносно — жестокий приспешник власти.	
погост	В старой Руси — административный и церковный центр; также кладбище.	
посадник	Должностное лицо, управлявшее городом в древнерусской республике.	
приказный	Относящийся к приказу; чиновник приказного управления.	
проситель	Человек, обращающийся с просьбой; в старой речи — ходатай.	
ратник	Воин, участник ополчения.	
сани	Зимняя повозка на полозьях.	
сельцо	Небольшое сельское поселение, обычно помещичье.	
смерд	Зависимый крестьянин в Древней Руси.	
сотник	Командир сотни; казачий чин.	
стряпчий	Чиновник; позднее — судебный поверенный.	
тягло	Податная повинность; совокупность денежных и натуральных повинностей.	
уезд	Административно-территориальная единица в Российской империи и СССР.	
ямщик	Кучер, перевозивший почту и пассажиров на казённых трактах.	
челядь	Домашние слуги или зависимые люди в старину.	
сударь	Вежливое обращение к мужчине; старинная форма слова «государь».	
сударыня	Вежливое обращение к женщине; старинная форма.	
десница	Правая рука; в книжной речи — рука вообще.	
ланиты	Щёки, лицо; поэтическое старинное слово.	
очи	Глаза; высокое или старинное слово.	
уста	Рот, губы; высокое или старинное слово.	
перст	Палец; обычно в выражении «перст Божий».	
чело	Лоб; в поэтической речи — лицо или голова.	
отрок	Подросток, юноша; в старину также слуга при дворе.	
длань	Ладонь, рука.	
брег	Берег; поэтическая или старинная форма.	берег
врата	Ворота; обычно форма множественного числа в высоком стиле.	ворота
зело	Очень, весьма.	
аще	Если, хотя; церковнославянское слово.	
ибо	Потому что, так как; книжное или старинное слово.	
доколе	До каких пор; пока.	
оне	Они; церковнославянская или старинная форма.	они
ишо	Диалектная или просторечная форма слова «ещё».	ещё
да-с	Вежливая частица подтверждения или согласия в старинной речи.	да
погодя	Спустя некоторое время; позже.
