# Curated proper names and places observed in the literary corpus.
# Keep this companion layer separate from the Russian core: entries explain
# who or what a name denotes and aliases cover the most common Russian cases.
Санчо	Санчо Панса, оруженосец Дон Кихота в романе Сервантеса.	Санчо-Панса|Санчо Пансы|Санчо Панса|Панса|Пансы|Пансе|Пансу
Кихот	Дон Кихот, странствующий рыцарь и герой романа Сервантеса.	Кихота|Кихоту|Кихотом|Кихоте
Дульсинея	Дульсинея Тобосская, воображаемая дама сердца Дон Кихота.	Дульсинеи|Дульсинею|Дульсинее|Дульсинея
Карденьо	Карденьо, несчастный влюблённый из романа «Дон Кихот».	Карденьо|Карденьо
Ансельмо	Ансельмо, персонаж вставной истории в романе «Дон Кихот».	Ансельмо
Ламанчский	Связанный с Ла-Манчей; в названии романа — Дон Кихот Ламанчский.	Ламанчского|Ламанчскому|Ламанчским
Фродо	Фродо Бэггинс, хоббит — носитель Кольца в романе Толкина.	Фродо
Гэндальф	Гэндальф, волшебник и один из главных союзников Братства Кольца.	Гэндальфа|Гэндальфу|Гэндальфом
Арагорн	Арагорн, наследник Исильдура и король Средиземья под именем Элессар.	Арагорна|Арагорну|Арагорном
Бильбо	Бильбо Бэггинс, хоббит и дядя Фродо.	Бильбо
Мерри	Мерриадок «Мерри» Брендибак, хоббит из Братства Кольца.	Мерри
Гимли	Гимли, гном-воин и участник Братства Кольца.	Гимли
Леголас	Леголас, эльфийский лучник из Лихолесья и участник Братства.	Леголаса|Леголасу|Леголасом
Боромир	Боромир, воин Гондора и участник Братства Кольца.	Боромира|Боромиру|Боромиром
Фарамир	Фарамир, капитан Гондора и брат Боромира.	Фарамира|Фарамиру|Фарамиром
Горлум	Горлум, прежний владелец Кольца, одержимый им.	Горлума|Горлуму|Горлумом
Саруман	Саруман Белый, волшебник, предавший Совет.	Сарумана|Саруману|Саруманом
Саурон	Саурон, тёмный властелин и создатель Единого Кольца.	Саурона|Саурону|Сауроном
Теоден	Теоден, король Рохана.	Теодена|Теодену|Теоденом
Эомер	Эомер, племянник Теодена и военачальник Рохана.	Эомера|Эомеру|Эомером
Эовин	Эовин, знатная воительница Рохана.	Эовин|Эовин
Элронд	Элронд, владыка Ривенделла.	Элронда|Элронду|Элрондом
Галадриэль	Галадриэль, владычица Лотлориэна.	Галадриэль|Галадриэли|Галадриэлью
Смеагорл	Смеагорл, имя Горлума до его превращения.	Смеагорла|Смеагорлу|Смеагорлом
Денэтор	Денэтор, наместник Гондора и отец Боромира и Фарамира.	Денэтора|Денэтору|Денэтором
Гондор	Гондор, южное королевство людей в мире Толкина.	Гондора|Гондору|Гондором|Гондоре|гондорец|гондорцы
Мордор	Мордор, мрачная страна Саурона.	Мордора|Мордору|Мордором
Изенгард	Изенгард, крепость Сарумана.	Изенгарда|Изенгарду|Изенгардом
Средиземье	Средиземье, вымышленный мир, где происходят события романа Толкина.	Средиземья|Средиземью|Средиземьем
Минас-Тирит	Минас-Тирит, укреплённый город и столица Гондора.	Минас-Тирита|Минас-Тириту|Минас-Тиритом
Андуин	Андуин, великая река Средиземья.	Андуина|Андуину|Андуином
Лориэн	Лориэн, лесное владение Галадриэли.	Лориэна|Лориэну|Лориэном
Хоббитания	Хоббитания, область проживания хоббитов.	Хоббитании|Хоббитанию|Хоббитанией
Гед	Гед, юный маг и главный герой романа Урсулы Ле Гуин.	Геда|Геду|Гедом
Огион	Огион, наставник Геда в «Волшебнике Земноморья».	Огиона|Огиону|Огионом
Ветч	Ветч, друг Геда и маг из романа о Земноморье.	Ветча|Ветчу|Ветчем
Земноморье	Земноморье, архипелаг и мир романов Урсулы Ле Гуин.	Земноморья|Земноморью|Земноморьем
# Book-scoped names selected from the supplied reading corpus.  They remain
# outside the core dictionary because they denote particular characters or
# places, rather than common Russian words.
Листницкий	Евгений Листницкий, дворянин и офицер, персонаж романа «Тихий Дон» М. Шолохова.	Листницкого|Листницкому|Листницким|Листницком
Дуняшка	Дуняшка Мелехова, сестра Григория Мелехова в романе «Тихий Дон».	Дуняшки|Дуняшке|Дуняшку|Дуняшкой
Вёшенская	Станица Вёшенская на Дону; одно из главных мест действия романа «Тихий Дон».	Вёшенской|Вёшенскую|Вёшенская|Вешенская|Вешенской|Вешенскую
Штокман	Штокман, большевик-подпольщик, персонаж романа «Тихий Дон».	Штокмана|Штокману|Штокманом|Штокмане
Христоня	Христоня, казак и персонаж романа «Тихий Дон».	Христони|Христоне|Христоню|Христоней
Хельсинг	Профессор Ван Хельсинг, врач и противник Дракулы в романе Брэма Стокера.	Ван Хельсинг|Ван-Хельсинг|Хельсинга|Хельсингу|Хельсингом
Харкер	Джонатан Харкер, герой романа Брэма Стокера «Дракула».	Харкера|Харкеру|Харкером|Харкере
Гардинер	Мистер Гардинер, родственник Элизабет Беннет в романе Джейн Остин «Гордость и предубеждение».	Гардинера|Гардинеру|Гардинером|Гардинере
Доротея	Доротея, героиня романа Сервантеса «Дон Кихот».	Доротеи|Доротее|Доротею|Доротеей
Мариус	Мариус Понмерси, молодой республиканец из «Отверженных».	Мариуса|Мариусу|Мариусом
Вальжан	Жан Вальжан, бывший каторжник и центральный герой «Отверженных».	Вальжана|Вальжану|Вальжаном|Вальжане
Жавер	Жавер, полицейский инспектор, преследующий Вальжана.	Жавера|Жаверу|Жавером
Козетта	Козетта, приёмная дочь Вальжана.	Козетты|Козетте|Козетту|Козеттой
Тенардье	Тенардье, фамилия трактирщика и его жены в «Отверженных».	Тенардье|Тенардьеров
Фантина	Фантина, мать Козетты.	Фантины|Фантине|Фантину|Фантиной
Анжолрас	Анжолрас, один из руководителей республиканского восстания в Париже.	Анжолраса|Анжолрасу|Анжолрасом
Жильнорман	Жильнорман, дед Мариуса.	Жильнормана|Жильнорману|Жильнорманом
Мабеф	Мабеф, пожилой садовник и участник событий «Отверженных».	Мабефа|Мабефу|Мабефом
Курфейрак	Курфейрак, товарищ Мариуса и участник республиканского кружка.	Курфейрака|Курфейраку|Курфейраком
Фошлеван	Фошлеван, персонаж, которому помогает Вальжан.	Фошлевана|Фошлевану|Фошлеваном
Монпарнас	Монпарнас, парижский уличный персонаж в «Отверженных».	Монпарнаса|Монпарнасу|Монпарнасом
Збышко	Збышко из Богданца, молодой рыцарь и герой романа Сенкевича.	Збышка|Збышку|Збышком
Мацько	Мацько из Богданца, опытный рыцарь и дядя Збышка.	Мацька|Мацьку|Мацьком
Юранд	Юранд из Спыхова, польский рыцарь в романе «Крестоносцы».	Юранда|Юранду|Юрандом
Ягенка	Ягенка, героиня романа «Крестоносцы».	Ягенки|Ягенке|Ягенку|Ягенкой
Дануська	Дануська, героиня романа «Крестоносцы».	Дануси|Данусе|Данусю|Дануська|Дануську
Витовт	Витовт, великий князь литовский, исторический персонаж «Крестоносцев».	Витовта|Витовту|Витовтом
