# Extracted from Russian Wiktionary/Kaikki; review before redistribution.
λιθουργέω	превращать в камень	
τῆλις	верблюжье сено	
абатиса	аббатиса (аббатисса)	
абатскій	аббатский; относящийся к аббату или аббатству	
абатство	аббатство [1]; самостоятельный католический монастырь, возглавляемый аббатом	
абатство	аббатство [2]; должность аббата	
абатъ	аббат	
аббатъ	аббат	
абдикаціонный	абдикационный; относящийся к абдикации	
абдикація	абдикация; добровольное отречение от престола, отказ от власти, должности или сана	
абдраганъ	рег. (Казань, Оренбург) испуг, страх, боязнь	
абиднꙑи	обидный	
абиѥ	тотчас	
абиѥ	сейчас же, тотчас	
аблань	яблоня	
абланьнꙑи	яблоневый	
аблъко	яблоко	
або	или	
абонировать	абонировать (аналогично современным значениям)	
абонироваться	то же, что абонироваться, страд. к абонировать	
абрѣдь	акрида	
авансировать	выдавать аванс	
авансировать	экон. выдавать (выдать) аванс, денежный задаток; платить (выплатить) вперёд	
авансировать	экон. передавать товар с условием будущей оплаты	
авва	отец	
авгостъ	месяц август	
августъ	август; восьмой месяц календарного года	
авгѹстьнꙑи	совершаемый по чину 1-го августа	
авдономъ	самодержец	
авивосъ	Авив	
авивъ	Авив	
авити	показать	
авити	показать, явить	
авлѥниѥ	явление	
авлꙗти	являть	
аворовъ	тополиный	
аворъ	явор	
авосє	может быть	
автономъ	Автоном	
авторствовать	быть писателем, автором; заниматься писательским трудом	
авторствовать	сочинять, придумывать	
авторъ	автор; создатель, сочинитель или разработчик чего-либо	
авъгаръ	авгар	
авъгѹстъ	август	
авьнꙑи	явный	
авѣ	явно	
авѣ	явно, открыто	
авѣ	наверно	
агавиѥ	огорчение	
агатоникъ	Агафоник	
аггєлъ	ангел	
агиасма	святая вода	
агиосъ	святой	
агитировать	вести агитацию	
агитировать	подстрекать, побуждать к каким-либо действиям, распространять в обществе настроения и воззрения в пользу или против кого-либо, какой-либо идеи или предприятия	
агница	овечка	
агноносьнꙑи	несущий агнца	
агносма	?	
агнъ	овен	
агньць	агнец, ягнёнок	
агньчь	ягнячий	
агнѧ	ягнёнок	
агнѧдиѥ	чернотополье	
агода	ягода	
агода	плод	
агодичина	смоковница	
агодичиѥ	смоковие	
агона	плод	
адамантъ	алмаз	
адамасъ	алмаз	
адамашка	сорт камки	
адамовъ	Адамов	
адамъ	Адам	
адаръ	иудейский месяц	
адвокатничать	быть адвокатом	
